station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,20,0,83,8.7,100,1025.49,-10.2,-10.3,,,,2016-04-20 00:00:00,2016-04-20 00:00:00
BRW,2016,4,20,1,89,9.8,100,1025.52,-10.3,-10.3,,,,2016-04-20 00:00:00,2016-04-20 01:00:00
BRW,2016,4,20,2,93,10.3,100,1025.38,-10.7,-10.6,,,,2016-04-20 00:00:00,2016-04-20 02:00:00
BRW,2016,4,20,3,95,10.4,100,1025.28,-10.9,-10.8,,,,2016-04-20 00:00:00,2016-04-20 03:00:00
BRW,2016,4,20,4,95,10.1,100,1025.35,-10.9,-10.7,,,,2016-04-20 00:00:00,2016-04-20 04:00:00
BRW,2016,4,20,5,96,9.8,100,1025.21,-10.4,-10.3,,,,2016-04-20 00:00:00,2016-04-20 05:00:00
BRW,2016,4,20,6,93,8.2,100,1025.39,-9.7,-9.5,,,,2016-04-20 00:00:00,2016-04-20 06:00:00
BRW,2016,4,20,7,90,8.6,100,1025.62,-9.1,-9.0,,,,2016-04-20 00:00:00,2016-04-20 07:00:00
BRW,2016,4,20,8,89,8.8,100,1025.77,-9.0,-8.8,,,,2016-04-20 00:00:00,2016-04-20 08:00:00
BRW,2016,4,20,9,89,8.8,100,1025.92,-9.2,-9.1,,,,2016-04-20 00:00:00,2016-04-20 09:00:00
BRW,2016,4,20,10,93,8.7,100,1026.19,-9.4,-9.3,,,,2016-04-20 00:00:00,2016-04-20 10:00:00
BRW,2016,4,20,11,95,8.7,100,1026.41,-9.9,-9.7,,,,2016-04-20 00:00:00,2016-04-20 11:00:00
BRW,2016,4,20,12,93,8.5,100,1026.67,-10.5,-10.4,,,,2016-04-20 00:00:00,2016-04-20 12:00:00
BRW,2016,4,20,13,92,7.8,100,1026.99,-11.4,-11.2,,,,2016-04-20 00:00:00,2016-04-20 13:00:00
BRW,2016,4,20,14,93,8.7,100,1027.32,-11.7,-11.6,,,,2016-04-20 00:00:00,2016-04-20 14:00:00
BRW,2016,4,20,15,91,9.5,100,1027.32,-12.4,-12.2,,,,2016-04-20 00:00:00,2016-04-20 15:00:00
BRW,2016,4,20,16,88,10.5,100,1027.09,-12.3,-12.2,,,,2016-04-20 00:00:00,2016-04-20 16:00:00
BRW,2016,4,20,17,90,10.0,100,1027.2,-12.1,-12.0,,,,2016-04-20 00:00:00,2016-04-20 17:00:00
BRW,2016,4,20,18,92,10.2,100,1027.48,-11.6,-11.5,,,,2016-04-20 00:00:00,2016-04-20 18:00:00
BRW,2016,4,20,19,93,10.5,100,1027.84,-11.0,-11.0,,,,2016-04-20 00:00:00,2016-04-20 19:00:00
BRW,2016,4,20,20,90,11.3,100,1027.98,-10.5,-10.5,,,,2016-04-20 00:00:00,2016-04-20 20:00:00
BRW,2016,4,20,21,88,11.5,100,1028.04,-10.1,-10.0,,,,2016-04-20 00:00:00,2016-04-20 21:00:00
BRW,2016,4,20,22,87,11.4,100,1027.83,-9.4,-9.2,,,,2016-04-20 00:00:00,2016-04-20 22:00:00
BRW,2016,4,20,23,85,9.3,100,1027.95,-8.8,-8.8,,,,2016-04-20 00:00:00,2016-04-20 23:00:00
